firstName,lastName,playerteamCity,playerteamName,opponentteamCity,opponentteamName,win,home,numMinutes,points,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,threePointersAttempted,threePointersMade,freeThrowsAttempted,freeThrowsMade,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,startingPosition,gameDate
Josh,Hart,New York,Knicks,San Antonio,Spurs,1.0,0.0,39.16666666666666,13.0,2.0,0.0,0.0,11.0,4.0,6.0,3.0,3.0,2.0,8.0,3.0,11.0,3.0,1.0,15.0,F,2026-06-13 20:30:00
OG,Anunoby,New York,Knicks,San Antonio,Spurs,1.0,0.0,32.78333333333333,11.0,0.0,1.0,3.0,11.0,3.0,5.0,1.0,6.0,4.0,8.0,0.0,8.0,5.0,1.0,2.0,F,2026-06-13 20:30:00
Jeremy,Sochan,New York,Knicks,San Antonio,Spurs,1.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,2026-06-13 20:30:00
Jordan,McLaughlin,San Antonio,Spurs,New York,Knicks,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-13 20:30:00
Jordan,Clarkson,New York,Knicks,San Antonio,Spurs,1.0,0.0,6.116666666666666,2.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,,2026-06-13 20:30:00
Harrison,Barnes,San Antonio,Spurs,New York,Knicks,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-13 20:30:00
Landry,Shamet,New York,Knicks,San Antonio,Spurs,1.0,0.0,13.216666666666669,5.0,0.0,0.0,0.0,7.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,-14.0,,2026-06-13 20:30:00
Mohamed,Diawara,New York,Knicks,San Antonio,Spurs,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-13 20:30:00
Karl-Anthony,Towns,New York,Knicks,San Antonio,Spurs,1.0,0.0,22.73333333333333,2.0,1.0,1.0,3.0,7.0,1.0,2.0,0.0,0.0,0.0,9.0,1.0,10.0,6.0,5.0,-4.0,C,2026-06-13 20:30:00
Mason,Plumlee,San Antonio,Spurs,New York,Knicks,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-13 20:30:00
Devin,Vassell,San Antonio,Spurs,New York,Knicks,0.0,1.0,39.2,12.0,2.0,1.0,2.0,8.0,5.0,5.0,2.0,0.0,0.0,7.0,0.0,7.0,1.0,0.0,-11.0,F,2026-06-13 20:30:00
Carter,Bryant,San Antonio,Spurs,New York,Knicks,0.0,1.0,5.933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,,2026-06-13 20:30:00
Jose,Alvarado,New York,Knicks,San Antonio,Spurs,1.0,0.0,11.416666666666666,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-11.0,,2026-06-13 20:30:00
Mikal,Bridges,New York,Knicks,San Antonio,Spurs,1.0,0.0,38.56666666666667,14.0,4.0,1.0,0.0,10.0,5.0,7.0,3.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,6.0,G,2026-06-13 20:30:00
Victor,Wembanyama,San Antonio,Spurs,New York,Knicks,0.0,1.0,37.86666666666667,19.0,2.0,5.0,0.0,19.0,7.0,6.0,1.0,5.0,4.0,8.0,6.0,14.0,3.0,2.0,-3.0,C,2026-06-13 20:30:00
Kelly,Olynyk,San Antonio,Spurs,New York,Knicks,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-13 20:30:00
Bismack,Biyombo,San Antonio,Spurs,New York,Knicks,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-13 20:30:00
Tyler,Kolek,New York,Knicks,San Antonio,Spurs,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-13 20:30:00
Miles,McBride,New York,Knicks,San Antonio,Spurs,1.0,0.0,12.883333333333333,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,,2026-06-13 20:30:00
